time,team,event,subevent,zone,player
0:00:00,fri,avslag,0,z5,0
0:00:06,fri,passning,lång,z8,0
0:00:08,iks,rensning,0,z5,0
0:00:20,fri,skott,utanför,z2,0
0:00:20,fri,skottyp,utifrån,z2,0
0:00:22,iks,utkast,0,z2,0
0:00:35,fri,närkamp,0,z6,0
0:00:40,fri,inslag,0,z6,0
0:00:40,fri,passning,lång,z6,0
0:00:40,iks,brytning,0,z2,0
0:00:40,iks,passning,lång,z5,0
0:00:40,fri,utkast,0,z8,0
0:00:48,fri,passning,straffområde,z1,0
0:00:50,iks,rensning,0,z2,0
0:01:08,iks,bolltapp,tappad,z1,0
0:01:12,iks,närkamp,0,z1,0
0:01:35,iks,passning,straffområde,z9,0
0:01:42,iks,mål,spelmål,z8,6
0:01:42,iks,skottyp,centralt,z8,6
0:02:23,fri,avslag,0,z5,0
0:03:28,iks,närkamp,0,z1,0
0:03:37,iks,frislag,0,z4,0
0:03:52,iks,passning,straffområde,z9,0
0:03:57,iks,skott,täckt,z8,0
0:03:57,iks,skottyp,centralt,z8,0
0:04:17,iks,passning,lång,z5,0
0:04:20,iks,hörna,0,z9,0
0:04:55,iks,skott,täckt,z8,0
0:04:55,iks,skottyp,fast,z8,0
0:04:57,fri,utkast,0,z8,0
0:05:16,fri,närkamp,0,z4,0
0:05:40,fri,passning,farlig,z5,0
0:05:42,fri,skott,utanför,z2,0
0:05:42,fri,skottyp,utifrån,z2,0
0:05:47,iks,utkast,0,z2,0
0:05:57,iks,bolltapp,passförsök,z5,0
0:06:04,iks,inslag,0,z6,0
0:06:45,iks,passning,farlig,z5,0
0:06:47,iks,skott,täckt,z8,0
0:06:47,iks,skottyp,centralt,z8,0
0:06:48,iks,skott,täckt,z8,0
0:06:48,iks,skottyp,retur,z8,0
0:06:52,fri,boll,0,z8,0
0:06:58,fri,frislag,0,z6,0
0:07:38,iks,brytning,0,z5,0
0:07:46,iks,passning,straffområde,z9,0
0:07:48,fri,brytning,0,z8,0
0:08:18,iks,utkast,0,z2,0
0:08:29,iks,passning,lång,z5,0
0:08:36,iks,skott,utanför,z8,0
0:08:36,iks,skottyp,centralt,z8,0
0:08:38,fri,utkast,0,z8,0
0:09:05,fri,passning,lång,z4,0
0:09:11,fri,skott,täckt,z2,0
0:09:11,fri,skottyp,utifrån,z2,0
0:09:12,iks,boll,0,z2,0
0:09:15,fri,närkamp,0,z6,0
0:09:19,iks,närkamp,0,z3,0
0:09:45,iks,40,0,z6,40
0:09:52,iks,passning,lång,z5,0
0:09:54,fri,brytning,0,z8,0
0:10:09,fri,frislag,0,z3,0
0:10:14,iks,utkast,0,z2,0
0:10:55,fri,närkamp,0,z8,0
0:11:06,fri,passning,straffområde,z2,0
0:11:08,fri,hörna,0,z1,0
0:11:35,fri,skott,täckt,z2,0
0:11:35,fri,skottyp,fast,z2,0
0:11:43,fri,skott,täckt,z2,0
0:11:43,fri,skottyp,retur,z2,0
0:11:50,iks,närkamp,0,z6,0
0:11:55,iks,närkamp,0,z5,0
0:11:59,fri,närkamp,0,z8,0
0:12:21,iks,närkamp,0,z4,0
0:12:25,iks,bolltapp,passförsök,z5,0
0:12:57,iks,närkamp,0,z2,0
0:13:45,iks,bolltapp,tappad,z4,0
0:13:52,fri,frislag,0,z5,0
0:14:27,fri,närkamp,0,z7,0
0:14:39,fri,frislag,0,z1,0
0:15:06,fri,passning,straffområde,z1,0
0:15:08,iks,brytning,0,z2,0
0:15:19,iks,passning,straffområde,z9,0
0:15:20,fri,utkast,0,z8,0
0:15:55,fri,rensning,0,z4,0
0:16:09,iks,passning,lång,z5,0
0:16:11,iks,passning,farlig,z8,0
0:16:12,iks,mål,spelmål,z8,10
0:16:12,iks,skottyp,friställande,z8,10
0:16:45,fri,timeout,0,0,0
0:18:19,fri,avslag,0,z5,0
0:18:49,fri,bolltapp,passförsök,z5,0
0:19:00,iks,hörna,0,z9,0
0:19:50,iks,skott,räddning,z8,0
0:19:50,iks,skottyp,fast,z8,0
0:19:55,fri,rensning,0,z8,0
0:20:00,fri,utkast,0,z8,0
0:20:09,fri,passning,lång,z5,0
0:20:12,iks,närkamp,0,z1,0
0:20:14,iks,rensning,0,z2,0
0:20:42,fri,passning,straffområde,z1,0
0:20:45,iks,utkast,0,z2,0
0:20:57,iks,frislag,0,z5,0
0:21:16,iks,närkamp,0,z9,0
0:21:29,iks,passning,lång,z5,0
0:21:33,fri,utkast,0,z8,0
0:21:35,fri,passning,lång,z8,0
0:21:45,iks,utkast,0,z2,0
0:21:55,iks,bolltapp,passförsök,z6,0
0:22:00,fri,bolltapp,passförsök,z9,0
0:22:05,iks,skott,utanför,z8,0
0:22:05,iks,skottyp,centralt,z8,0
0:22:07,fri,utkast,0,z8,0
0:22:20,fri,passning,lång,z5,0
0:22:24,iks,rensning,0,z2,0
0:22:35,fri,inslag,0,z6,0
0:22:45,fri,passning,straffområde,z1,0
0:22:47,iks,rensning,0,z2,0
0:23:14,iks,närkamp,0,z6,0
0:23:22,fri,närkamp,0,z9,0
0:23:32,fri,inslag,0,z9,0
0:23:37,fri,passning,lång,z9,0
0:23:41,iks,brytning,0,z5,0
0:24:56,iks,frislag,0,z5,0
0:25:11,fri,närkamp,0,z8,0
0:25:12,iks,närkamp,0,z8,0
0:25:14,fri,närkamp,0,z8,0
0:25:41,fri,passning,lång,z8,0
0:25:52,iks,utkast,0,z2,0
0:25:59,iks,passning,lång,z5,0
0:26:06,iks,hörna,0,z7,0
0:26:34,iks,mål,hörnmål,z8,88
0:26:34,iks,skottyp,fast,z8,88
0:27:00,fri,avslag,0,z5,0
0:27:21,fri,passning,straffområde,z1,0
0:27:22,fri,närkamp,0,z2,0
0:27:23,fri,passning,straffområde,z1,0
0:27:27,iks,brytning,0,z2,0
0:27:40,fri,närkamp,0,z8,0
0:27:45,iks,inslag,0,z7,0
0:29:02,iks,bolltapp,tappad,z4,0
0:29:07,fri,närkamp,0,z4,0
0:29:11,fri,passning,lång,z4,0
0:29:12,iks,utkast,0,z2,0
0:29:23,iks,frislag,0,z3,0
0:29:43,iks,passning,lång,z4,0
0:29:50,iks,offside,0,z8,0
0:30:05,fri,passning,straffområde,z3,0
0:30:08,iks,brytning,0,z2,0
0:30:16,iks,närkamp,0,z6,0
0:30:20,iks,närkamp,0,z3,0
0:30:40,fri,närkamp,0,z7,0
0:30:45,fri,utkast,0,z8,0
0:31:00,fri,passning,straffområde,z1,0
0:31:01,iks,utkast,0,z2,0
0:31:32,iks,bolltapp,tappad,z5,0
0:31:49,fri,frislag,0,z3,0
0:31:55,fri,skott,täckt,z3,0
0:31:55,fri,skottyp,fast,z3,0
0:31:57,fri,hörna,0,z1,0
0:32:22,fri,skott,täckt,z2,0
0:32:22,fri,skottyp,fast,z2,0
0:32:24,fri,närkamp,0,z3,0
0:32:28,fri,passning,straffområde,z3,0
0:32:34,fri,skott,räddning,z2,0
0:32:34,fri,skottyp,centralt,z2,0
0:32:35,iks,boll,0,z3,0
0:33:15,fri,utkast,0,z8,0
0:33:26,fri,passning,lång,z5,0
0:33:29,iks,brytning,0,z2,0
0:33:34,iks,bolltapp,passförsök,z4,0
0:33:38,iks,närkamp,0,z4,0
0:33:45,iks,närkamp,0,z5,0
0:33:57,iks,bolltapp,passförsök,z3,0
0:34:04,iks,närkamp,0,z3,0
0:34:06,iks,passning,lång,z5,0
0:34:10,fri,brytning,0,z5,0
0:34:35,fri,passning,straffområde,z3,0
0:34:40,fri,mål,spelmål,z2,0
0:34:40,fri,skottyp,inlägg,z2,0
0:35:10,iks,avslag,0,z5,0
0:35:37,iks,passning,straffområde,z4,0
0:35:39,fri,utkast,0,z8,0
0:36:14,fri,bolltapp,tappad,z5,0
0:36:24,iks,skott,täckt,z8,0
0:36:24,iks,skottyp,utifrån,z8,0
0:36:25,fri,boll,0,z8,0
0:36:37,fri,frislag,0,z3,0
0:37:08,fri,frislag,0,z6,0
0:38:08,iks,utkast,0,z2,0
0:38:11,iks,passning,lång,z5,0
0:38:12,fri,utkast,0,z8,0
0:38:32,iks,utkast,0,z2,0
0:38:42,fri,brytning,0,z9,0
0:38:52,iks,frislag,0,z5,0
0:39:27,iks,närkamp,0,z5,0
0:39:30,iks,frislag,0,z5,0
0:40:27,fri,brytning,0,z5,0
0:40:40,iks,närkamp,0,z2,0
0:40:57,iks,skott,räddning,z8,0
0:40:57,iks,skottyp,dribbling,z8,0
0:41:03,iks,passning,straffområde,z8,0
0:41:04,fri,brytning,0,z8,0
0:41:12,fri,rensning,0,z9,0
0:41:57,iks,passning,lång,z5,0
0:41:58,iks,offside,0,z8,0
0:42:22,fri,skott,täckt,z3,0
0:42:22,fri,skottyp,utifrån,z3,0
0:42:29,fri,närkamp,0,z3,0
0:42:34,iks,bolltapp,passförsök,z6,0
0:42:39,iks,skott,utanför,z9,0
0:42:39,iks,skottyp,utifrån,z9,0
0:42:42,fri,utkast,0,z8,0
0:43:19,fri,närkamp,0,z4,0
0:43:24,fri,passning,lång,z5,0
0:43:29,iks,utkast,0,z2,0
0:43:51,iks,passning,lång,z5,0
0:43:57,fri,brytning,0,z8,0
0:44:02,fri,närkamp,0,z7,0
0:44:12,iks,brytning,0,z2,0
0:44:15,iks,bolltapp,passförsök,z2,0
0:44:37,fri,bolltapp,tappad,z1,0
0:44:50,fri,utvisning,10,z7,10
0:44:50,iks,frislag,0,z7,0
0:45:38,iks,skott,täckt,z9,0
0:45:38,iks,skottyp,utifrån,z9,0
0:45:40,iks,hörna,0,z9,0
0:46:35,iks,mål,hörnmål,z8,97
0:46:35,iks,skottyp,fast,z8,97
0:47:08,fri,avslag,0,z5,0
00:47:10,0,stop,0,0,0
